product_id,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Manganese, Mn","Selenium, Se","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total ",Vitamin B-12,"Vitamin A, RAE",Cholesterol,"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
1,94.79,1.21,0.32,3.11,16,0.37,18,38,261,8,0.32,0.053,0.177,0.2,17.9,0.045,0.094,0.451,0.204,0.163,24,0,10,0,0.084,0.011,0.091
2,90.32,1.83,0.22,6.97,37,1.03,25,38,211,6,0.24,0.069,0.216,0.6,12.2,0.082,0.104,0.734,0.225,0.141,33,0,35,0,0.05,0.01,0.113
3,94.39,1.2,0.2,3.23,77,0.31,13,29,238,9,0.23,0.036,0.19,0.6,27,0.04,0.05,0.4,0.105,0.232,79,0,16,0,0.043,0.023,0.072
4,88.29,0.93,0.24,9.58,33,0.3,12,35,320,69,0.24,0.045,0.143,0.1,5.9,0.066,0.058,0.983,0.273,0.138,19,0,835,0,0.032,0.012,0.102
5,89.3,2.82,0.37,6.64,47,0.73,21,66,316,33,0.41,0.049,0.21,2.5,89.2,0.071,0.117,0.639,0.573,0.175,63,0,31,0,0.114,0.031,0.112
6,91.4,2.86,0.39,3.63,99,2.71,79,49,558,79,0.53,0.13,0.897,1,28.1,0.078,0.189,0.724,0.065,0.195,194,0,469,0,0.063,0.01,0.165
7,92.18,1.28,0.1,5.8,40,0.47,12,26,170,18,0.18,0.019,0.16,0.3,36.6,0.061,0.04,0.234,0.212,0.124,43,0,5,0,0.034,0.017,0.017
8,92.66,1.8,0.2,3.74,51,1.8,81,46,379,213,0.36,0.179,0.366,0.9,30,0.04,0.09,0.4,0.172,0.099,14,0,306,0,0.03,0.04,0.07
9,81.83,0.52,0.15,16.23,417,1.8,55,7,127,14,0.15,0.138,0.094,0.4,4,0.029,0.039,0.162,0.041,0.055,7,0,2,0,0,0,0
10,91.69,2.46,0.33,4.02,215,2.32,55,50,611,20,0.9,0.162,0.885,0.9,43.3,0.027,0.158,0.658,0.064,0.192,85,0,146,0,0.091,0.076,0.147
11,86.67,0.27,0.13,12.76,5,0.07,4,11,90,0,0.05,0.031,0.038,0,4,0.019,0.028,0.091,0.071,0.037,0,0,2,0,0.021,0.005,0.037
12,72.48,5.33,0.29,20.23,10,2.57,51,174,922,22,0.28,0.171,0.36,0.7,1.1,0.17,0.073,1.65,0.599,0.26,14,0,0,0,0,0,0
13,84.94,3.27,0.15,10.51,44,1.28,60,90,370,94,0.49,0.231,0.256,0.2,11.7,0.072,0.066,1.046,0.338,0.116,68,0,1,0,0.036,0.005,0.064
14,93.22,2.2,0.12,3.88,24,2.14,14,52,202,2,0.54,0.189,0.158,2.3,5.6,0.143,0.141,0.978,0.274,0.091,52,0,38,0,0.04,0,0.05
15,89.25,5.3,0.69,3.29,84,2.04,85,99,608,11,0.3,0.201,0.536,0.9,88,0.181,0.362,1.11,0.063,0.803,128,0,87,0,0,0,0
16,94.03,1,0.17,3.7,19,0.43,17,31,296,5,0.8,0.034,0.089,0.2,84,0.04,0.04,0.4,0.212,0.043,72,0,24,0,0,0,0
17,91,2.6,0.3,5.2,13,0.5,3,59,533,4,1.1,0.19,0.262,0.8,4,0.15,0.07,0.6,0.161,0.24,7,0,1,0,0.069,0.007,0.134
18,10.09,9.91,1.16,77.72,29,2.5,79,221,280,9,2.13,0.42,1.322,37.7,0,0.191,0.114,4.604,0.282,0.26,23,0,1,0,0.244,0.149,0.56
19,13.44,19.87,0.53,62.9,66,4.98,127,381,1254,5,5.04,1.094,1.73,3.1,0,0.455,0.22,2.63,1.471,0.351,622,0,1,0,0.191,0.05,0.113
20,11,21.25,0.9,63.25,160,8.7,160,440,1500,9,2.2,1,1,3.2,0,0.9,0.193,1.955,0.899,0.286,444,0,0,0,0.232,0.078,0.387
21,11.02,21.6,1.42,62.36,123,5.02,171,352,1483,5,3.65,0.841,1.06,3.2,0,0.9,0.193,1.955,0.899,0.286,444,0,0,0,0.366,0.123,0.61
22,12.39,23.03,1.23,60.05,127,5,156,372,1332,6,3.63,0.794,0.92,12.7,0,0.747,0.213,1.455,0.748,0.309,604,0,0,0,0.316,0.106,0.527
23,10.77,18.81,2.02,64.11,186,3.4,188,304,1316,18,1.9,0.44,1.2,12.9,4.6,0.535,0.221,2.083,0.789,0.401,399,0,0,0,0.221,0.138,1.207
24,10.7,21.86,1.14,62.37,175,5.47,189,447,1387,14,2.31,0.837,1.423,12.9,5.3,0.653,0.237,1.955,1.098,0.447,482,0,0,0,0.356,0.053,0.477
25,11.75,23.58,0.83,60.01,143,8.2,140,407,1406,24,2.79,0.958,1.021,3.2,4.5,0.529,0.219,2.06,0.78,0.397,394,0,0,0,0.12,0.064,0.457
26,11.75,24.37,0.25,59.8,195,9.35,160,405,1490,11,2.55,1.1,1,3.2,4.5,0.529,0.219,2.06,0.78,0.397,394,0,0,0,0.036,0.019,0.138
27,90.7,4.2,0.5,4.1,17,0.81,21,37,187,6,0.4,0.159,0.182,0.6,38.7,0.37,0.25,2.92,0.368,0.085,59,0,0,0,0.072,0.039,0.276
28,11.75,22.53,1.06,61.29,83,6.69,138,406,1359,12,2.79,0.699,1.111,3.2,4.5,0.608,0.215,2.11,0.78,0.397,394,0,0,0,0.154,0.082,0.586
29,11.9,25.33,0.45,58.33,131,8.7,138,406,1346,13,2.66,1,1.109,3.2,4.5,0.39,0.24,2.106,0.779,0.396,393,0,0,0,0.065,0.035,0.249
30,12.1,22.33,1.5,60.75,147,5.49,175,407,1185,5,3.65,0.834,1.418,11,0,0.775,0.164,2.188,0.744,0.428,364,0,0,0,0.17,0.128,0.873
31,79.15,6.15,0.7,13.05,15,1.93,101,100,307,13,0.89,0.356,0.408,0.6,18.8,0.39,0.215,1.22,0.825,0.191,132,0,0,0,0.085,0.052,0.407
32,10.06,20.96,1.13,64.19,130,6.77,182,415,1464,8,2.55,0.81,1.376,13,0,0.772,0.192,1.892,0.997,0.527,463,0,0,0,0.292,0.098,0.487
33,11.33,21.42,1.23,62.55,113,5.07,176,411,1393,12,2.28,0.893,1.148,27.9,6.3,0.713,0.212,1.174,0.785,0.474,525,0,0,0,0.235,0.229,0.407
34,81.3,5.25,0.9,11.6,43,1.97,53,94,307,153,0.5,0.32,0.366,0.6,21.7,0.23,0.175,2.28,0.74,0.171,118,0,0,0,0.109,0.067,0.523
35,11.71,21.11,1.18,62.25,173,7.73,183,445,1542,12,2.81,0.635,1.278,12.8,0,0.743,0.207,1.342,0.729,0.439,386,0,0,0,0.304,0.102,0.507
36,90.27,1.82,0.12,7.13,37,1.04,25,38,209,6,0.24,0.069,0.214,0.6,16.3,0.084,0.105,0.752,0.094,0.074,37,0,0,0,0.026,0.005,0.059
37,11.32,23.36,0.85,60.27,240,10.44,190,301,1795,16,3.67,0.984,1.796,12.8,0,0.437,0.146,0.479,0.732,0.318,388,0,0,0,0.219,0.074,0.364
38,11.1,22,2.6,60.7,166,7.01,222,488,1042,12,2.83,0.639,1.286,12.8,0,0.69,0.33,2.43,0.734,0.442,389,0,0,0,0.671,0.226,1.118
39,91.02,2.2,0.13,4.33,117,2.57,70,41,762,226,0.38,0.191,0.391,0.9,30,0.1,0.22,0.4,0.25,0.106,15,0,316,0,0.02,0.026,0.046
40,87.58,1.61,0.17,9.56,16,0.8,23,40,325,78,0.35,0.075,0.329,0.7,4.9,0.031,0.04,0.334,0.155,0.067,109,0,2,0,0.027,0.032,0.06
41,93,1.8,0.7,3.06,93,3.3,52,53,470,80,0.2,0.13,0.349,0.9,35,0.06,0.15,0.9,0.041,0.084,13,0,210,0,0.17,0.211,0.109
42,10.98,26.12,1.53,58.29,103,6.7,192,421,1062,13,3.14,0.824,1.626,8.2,1.4,0.555,0.333,2.832,0.976,0.366,423,0,3,0,0.254,0.303,0.627
43,81,5.6,0.6,11.7,22,1.9,38,95,250,50,0.58,0.074,0.32,1.2,33,0.17,0.11,1.5,0.086,0.038,96,0,18,0,0.138,0.017,0.31
44,92.55,3.17,0.49,2.85,108,2.14,22,73,196,33,0.77,0.042,0.395,1,20.2,0.162,0.129,1.221,0.322,0.171,83,0,131,0,0.083,0.044,0.218
45,92.55,1.2,0.76,4.67,105,0.59,19,43,274,7,0.41,0.064,0,1.4,29.6,0.1,0.153,0.459,0,0.074,104,0,86,0,0.116,0.053,0.347
46,86,3.38,0.3,8.95,42,1.4,23,69,389,25,0.42,0.07,0.337,1.6,85,0.139,0.09,0.745,0.309,0.219,61,0,38,0,0.062,0.023,0.153
47,80.09,1.53,0.15,17.34,41,0.8,38,51,308,5,0.33,0.077,0.232,0.7,3,0.01,0.03,0.3,0.321,0.24,23,0,0,0,0.025,0.037,0.059
48,94.5,0.39,0.04,3.61,103,0.1,14,12,655,7,0.16,0.103,0.274,0.9,31.5,0.02,0.02,0.2,0.032,0.096,10,0,3,0,0,0,0
